row,filename,community,degree,betweenness,closeness,eigenvector
128,From_home_to_office_dynamics_.pdf,0,0.1244,0.0082,0.4289,0.0632
129,G22THFL-034862T.pdf,2,0.0518,0.0024,0.4102,0.0609
130,GSCARR-2024-0261.pdf,2,0.0466,0.0013,0.3814,0.0453
131,Gender_differences_in_remote_w.pdf,0,0.0415,0.0022,0.368,0.0266
132,HPSCONF-V21-1-18.pdf,4,0.0674,0.0016,0.3773,0.0311
133,"Healthy,_healthier,_hybrid_wor.pdf",0,0.0829,0.0031,0.4151,0.0456
134,Hewitt+Note+-+Panoptic+Employment+8.8.24.pdf,5,0.0415,0.0005,0.3453,0.0107
135,How_and_When_Technostress_Pred.pdf,1,0.0389,0.0014,0.3935,0.0323
136,How_far_can_I_trust_you_Under.pdf,0,0.0622,0.0073,0.3975,0.026
137,Human Behavior and Emerging Technologies - 2024 - Laksanadjaja - Uncovering the Web of Secrets Surrounding Employee.pdf,5,0.0492,0.0051,0.368,0.0137
138,Human Behavior and Emerging Technologies - 2025 - Massa - E%E2%80%90Skill Self%E2%80%90Efficacy and Perceived Performance in Remote Work  A.pdf,3,0.0855,0.012,0.4628,0.0573
139,Human_Centric_Digital_Transformation_and_Operator_4.0_for_the_Oil_and_Gas_Industry.pdf,0,0.0389,0.0061,0.3354,0.0101
140,Hybrid workers describe aspects that promote effectiveness  work engagement  work-life balance  and health.pdf,3,0.0984,0.004,0.4416,0.0851
141,Hybrid_working_–_Benefits_and_.pdf,0,0.0622,0.0015,0.3868,0.0326
142,"IJEMR+vol.+4,+no.+3,+Page+426-437.pdf",1,0.0907,0.004,0.4265,0.0814
143,IJETCSIT-V6I3P108.pdf,4,0.0518,0.0064,0.3826,0.0197
144,IJSRA-2025-2470.pdf,2,0.1399,0.0142,0.4573,0.1019
145,ILR-161-289.pdf,2,0.0415,0.0036,0.4046,0.0313
146,Ibrahim.pdf,0,0.0415,0.0023,0.3841,0.02
147,Impact_of_employee_well-being_.pdf,0,0.0415,0.001,0.3903,0.0276
148,"Impact_of_stress,_job_satisfac.pdf",0,0.0415,0.0003,0.3577,0.0258
149,Impact_of_work_from_home_on_work_life_ba.pdf,3,0.044,0.0044,0.4072,0.0278
150,Inclusion_and_Psychological_Sa.pdf,4,0.0648,0.0052,0.4303,0.0533
151,Information Systems Journal - 2023 - Meier - Cooking a telework theory with causal recipes  Explaining telework success.pdf,0,0.0829,0.0069,0.426,0.0525
152,Int J Management Reviews - 2025 - Ferdous - An integrated framework of remote work from organizational adoption to employee.pdf,3,0.0596,0.0063,0.4337,0.0327
153,J Management Studies - 2025 - Tr%C3%B6ster - How Hybrid Work Shapes Communication Ties  The Role of Concern about Relationship.pdf,4,0.0415,0.002,0.3841,0.0286
154,J Occupat   Organ Psyc - 2024 - Scheibe - Age%E2%80%90related differences in the use of boundary management tactics when.pdf,1,0.1218,0.0066,0.4515,0.118
155,JABS-2024JanMappingtheexperiencesofwork-life.Scopus.pdf,0,0.044,0.0013,0.3538,0.0215
156,JFerreras_Dissertation_Fall2024.pdf,3,0.0389,0.0069,0.3879,0.0266
157,Journal of Advanced Nursing - 2021 - Terkamo%E2%80%90Moisio - Towards remote leadership in health care  Lessons learned from an.pdf,4,0.0466,0.0029,0.3983,0.0302
158,Keser-Ertemsir-Basol.pdf,1,0.0466,0.0024,0.3983,0.0463
159,Leadership in virtual work settings  what we know  what we do not know  and what we need to do.pdf,4,0.0907,0.0044,0.3959,0.0351
160,Lechner%20%2B%20Tobias%202021OD_How%20to%20create%20psychological%20safety%20in%20virtual%20teams_Accepted%20Manuscript%20%281%29.pdf,4,0.044,0.0065,0.3581,0.0124
161,Manager_Control_and_Employee_Isolation_I.pdf,1,0.0492,0.0024,0.4046,0.0331
162,Managing_Performance_and_Building_Digital_Trust_in.pdf,2,0.0492,0.0024,0.3915,0.039
163,Manuscript.pdf,2,0.0466,0.0035,0.4076,0.0404
164,Manuscript_IRJMS_01841_WS.pdf,2,0.0492,0.0012,0.4191,0.0563
165,Master_Thesis_Final_-_Layal_Alkhatib_and_Arsaf.pdf,4,0.0466,0.0055,0.3694,0.0144
166,Master_Thesis_PabloVelazco_RaffaelBless_1.pdf,4,0.0492,0.0009,0.3726,0.0182
167,MelusoJohnsonBagrow2021FlexibleEnvironmentsforHybridCollaboration.pdf,2,0.0415,0.0045,0.3923,0.0243
168,Navigating_the_change_explori.pdf,0,0.0389,0.0036,0.3744,0.0181
169,New Technol Work Employ - 2023 - Wieser - Employee acceptance of digital monitoring systems while working from home.pdf,5,0.0674,0.0073,0.4089,0.027
170,New Technol Work Employ - 2024 - Williams - Framing algorithmic management  Constructed antagonism on HR technology.pdf,0,0.0389,0.0057,0.4298,0.031
171,Organizational_identification_among_virt.pdf,4,0.0389,0.0062,0.408,0.0209
172,Osuva_Myllymäki_Smale_Sumelius_2024.pdf,3,0.0389,0.0015,0.4008,0.0406
173,Out of sight out of mind? Remote work and contractual distancing.pdf,2,0.0389,0.0042,0.3795,0.0298
174,PAGANIN+Videoconference+fatigue+AM.pdf,1,0.0415,0.0063,0.3856,0.026
175,Paper+2+(2023.5.6)+Assessing+the+Impact+of+a+Hybrid+Work+Model+on+Job+Execution+....pdf,3,0.0907,0.0064,0.4391,0.0665
